Description,InvoiceMonth,TotalPrice
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-08-01,756.2
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-09-01,326.4
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-10-01,101.4
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-11-01,191.1
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2010-12-01,234.1
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-01-01,240.6
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-02-01,167.1
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-03-01,234.0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-04-01,624.9
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-05-01,392.7
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-06-01,855.0
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-07-01,661.25
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-08-01,287.4
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-09-01,651.6
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-10-01,236.7
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-11-01,255.55
"\"ASSORTED FLOWER COLOUR \"\"LEIS\"\"\"",2011-12-01,31.2
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2009-12-01,944.1
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-01-01,235.95
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-02-01,303.6
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-03-01,679.05
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-04-01,274.95
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-05-01,424.8
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-06-01,541.2
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-07-01,547.95
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-08-01,293.4
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-09-01,617.1
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-10-01,676.2
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-11-01,1099.65
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2010-12-01,1769.4
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-01-01,351.75
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-02-01,893.85
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-03-01,513.75
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-04-01,486.0
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-05-01,525.6
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-06-01,817.5
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-07-01,415.8
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-08-01,368.7
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-09-01,779.12
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-10-01,773.72
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-11-01,1349.58
"\"RECORD FRAME 7\"\" SINGLE SIZE \"",2011-12-01,106.4
10 COLOUR SPACEBOY PEN,2010-05-01,660.43
10 COLOUR SPACEBOY PEN,2010-06-01,605.18
10 COLOUR SPACEBOY PEN,2010-07-01,536.33
10 COLOUR SPACEBOY PEN,2010-08-01,279.65
10 COLOUR SPACEBOY PEN,2010-09-01,589.88
10 COLOUR SPACEBOY PEN,2010-10-01,929.05
10 COLOUR SPACEBOY PEN,2010-11-01,1070.11
10 COLOUR SPACEBOY PEN,2010-12-01,796.45
10 COLOUR SPACEBOY PEN,2011-01-01,234.6
10 COLOUR SPACEBOY PEN,2011-02-01,183.6
10 COLOUR SPACEBOY PEN,2011-03-01,346.8
10 COLOUR SPACEBOY PEN,2011-04-01,183.6
10 COLOUR SPACEBOY PEN,2011-05-01,521.88
10 COLOUR SPACEBOY PEN,2011-06-01,501.48
10 COLOUR SPACEBOY PEN,2011-07-01,376.53
10 COLOUR SPACEBOY PEN,2011-08-01,483.61
10 COLOUR SPACEBOY PEN,2011-09-01,468.19
10 COLOUR SPACEBOY PEN,2011-10-01,689.55
10 COLOUR SPACEBOY PEN,2011-11-01,667.89
10 COLOUR SPACEBOY PEN,2011-12-01,86.49
12 EGG HOUSE PAINTED WOOD,2009-12-01,291.6
12 EGG HOUSE PAINTED WOOD,2010-01-01,1507.85
12 EGG HOUSE PAINTED WOOD,2010-02-01,240.6
12 EGG HOUSE PAINTED WOOD,2010-03-01,318.75
12 EGG HOUSE PAINTED WOOD,2010-04-01,153.0
12 EGG HOUSE PAINTED WOOD,2010-05-01,76.5
12 EGG HOUSE PAINTED WOOD,2010-06-01,63.75
12 EGG HOUSE PAINTED WOOD,2010-07-01,89.25
12 EGG HOUSE PAINTED WOOD,2010-08-01,140.25
12 EGG HOUSE PAINTED WOOD,2010-09-01,215.1
12 EGG HOUSE PAINTED WOOD,2010-10-01,189.6
12 EGG HOUSE PAINTED WOOD,2010-11-01,465.15
12 EGG HOUSE PAINTED WOOD,2010-12-01,25.5
12 EGG HOUSE PAINTED WOOD,2011-01-01,140.25
12 EGG HOUSE PAINTED WOOD,2011-02-01,191.25
12 EGG HOUSE PAINTED WOOD,2011-03-01,153.0
12 EGG HOUSE PAINTED WOOD,2011-04-01,127.5
12 EGG HOUSE PAINTED WOOD,2011-05-01,38.25
12 EGG HOUSE PAINTED WOOD,2011-06-01,63.75
12 EGG HOUSE PAINTED WOOD,2011-07-01,63.75
12 EGG HOUSE PAINTED WOOD,2011-08-01,51.0
12 EGG HOUSE PAINTED WOOD,2011-09-01,102.0
12 EGG HOUSE PAINTED WOOD,2011-10-01,215.67
12 EGG HOUSE PAINTED WOOD,2011-11-01,227.85
12 EGG HOUSE PAINTED WOOD,2011-12-01,25.5
12 MESSAGE CARDS WITH ENVELOPES,2010-09-01,471.45
12 MESSAGE CARDS WITH ENVELOPES,2010-10-01,596.85
12 MESSAGE CARDS WITH ENVELOPES,2010-11-01,1098.75
12 MESSAGE CARDS WITH ENVELOPES,2010-12-01,375.3
12 MESSAGE CARDS WITH ENVELOPES,2011-01-01,127.05
12 MESSAGE CARDS WITH ENVELOPES,2011-02-01,184.35
12 MESSAGE CARDS WITH ENVELOPES,2011-03-01,97.35
12 MESSAGE CARDS WITH ENVELOPES,2011-04-01,138.6
12 MESSAGE CARDS WITH ENVELOPES,2011-05-01,341.1
12 MESSAGE CARDS WITH ENVELOPES,2011-06-01,148.5
12 MESSAGE CARDS WITH ENVELOPES,2011-07-01,133.65
12 MESSAGE CARDS WITH ENVELOPES,2011-08-01,199.65
12 MESSAGE CARDS WITH ENVELOPES,2011-09-01,157.95
12 MESSAGE CARDS WITH ENVELOPES,2011-10-01,217.8
12 MESSAGE CARDS WITH ENVELOPES,2011-11-01,350.55
12 MESSAGE CARDS WITH ENVELOPES,2011-12-01,214.05
12 PENCIL SMALL TUBE WOODLAND,2010-03-01,239.15
12 PENCIL SMALL TUBE WOODLAND,2010-04-01,646.3
12 PENCIL SMALL TUBE WOODLAND,2010-05-01,109.2
12 PENCIL SMALL TUBE WOODLAND,2010-06-01,193.05
12 PENCIL SMALL TUBE WOODLAND,2010-07-01,276.9
12 PENCIL SMALL TUBE WOODLAND,2010-08-01,167.05
12 PENCIL SMALL TUBE WOODLAND,2010-09-01,207.35
12 PENCIL SMALL TUBE WOODLAND,2010-10-01,766.3
12 PENCIL SMALL TUBE WOODLAND,2010-11-01,632.45
12 PENCIL SMALL TUBE WOODLAND,2010-12-01,265.85
12 PENCIL SMALL TUBE WOODLAND,2011-01-01,105.3
12 PENCIL SMALL TUBE WOODLAND,2011-02-01,346.4
12 PENCIL SMALL TUBE WOODLAND,2011-03-01,131.8
12 PENCIL SMALL TUBE WOODLAND,2011-04-01,227.5
12 PENCIL SMALL TUBE WOODLAND,2011-05-01,63.7
12 PENCIL SMALL TUBE WOODLAND,2011-06-01,80.6
12 PENCIL SMALL TUBE WOODLAND,2011-07-01,3.9
12 PENCIL SMALL TUBE WOODLAND,2011-09-01,66.3
12 PENCIL SMALL TUBE WOODLAND,2011-10-01,340.8
12 PENCIL SMALL TUBE WOODLAND,2011-11-01,835.85
12 PENCIL SMALL TUBE WOODLAND,2011-12-01,177.4
12 PENCILS SMALL TUBE RED RETROSPOT,2010-09-01,179.4
12 PENCILS SMALL TUBE RED RETROSPOT,2010-10-01,1010.1
12 PENCILS SMALL TUBE RED RETROSPOT,2010-11-01,828.1
12 PENCILS SMALL TUBE RED RETROSPOT,2010-12-01,750.1
12 PENCILS SMALL TUBE RED RETROSPOT,2011-01-01,211.25
12 PENCILS SMALL TUBE RED RETROSPOT,2011-02-01,179.4
12 PENCILS SMALL TUBE RED RETROSPOT,2011-03-01,777.25
12 PENCILS SMALL TUBE RED RETROSPOT,2011-04-01,276.25
12 PENCILS SMALL TUBE RED RETROSPOT,2011-05-01,370.5
12 PENCILS SMALL TUBE RED RETROSPOT,2011-09-01,176.15
12 PENCILS SMALL TUBE RED RETROSPOT,2011-10-01,930.0
12 PENCILS SMALL TUBE RED RETROSPOT,2011-11-01,566.15
12 PENCILS SMALL TUBE RED RETROSPOT,2011-12-01,195.65
12 PENCILS SMALL TUBE RED SPOTTY,2009-12-01,391.3
12 PENCILS SMALL TUBE RED SPOTTY,2010-01-01,273.65
12 PENCILS SMALL TUBE RED SPOTTY,2010-02-01,189.8
12 PENCILS SMALL TUBE RED SPOTTY,2010-03-01,317.85
12 PENCILS SMALL TUBE RED SPOTTY,2010-04-01,154.7
12 PENCILS SMALL TUBE RED SPOTTY,2010-05-01,969.9
12 PENCILS SMALL TUBE RED SPOTTY,2010-06-01,432.25
12 PENCILS SMALL TUBE RED SPOTTY,2010-07-01,548.6
12 PENCILS SMALL TUBE RED SPOTTY,2010-08-01,573.95
12 PENCILS SMALL TUBE RED SPOTTY,2010-09-01,475.15
12 PENCILS SMALL TUBE RED SPOTTY,2010-10-01,659.2
12 PENCILS SMALL TUBE RED SPOTTY,2010-11-01,15.6
12 PENCILS SMALL TUBE SKULL,2009-12-01,176.15
12 PENCILS SMALL TUBE SKULL,2010-01-01,204.1
12 PENCILS SMALL TUBE SKULL,2010-02-01,421.15
12 PENCILS SMALL TUBE SKULL,2010-03-01,371.55
12 PENCILS SMALL TUBE SKULL,2010-04-01,159.25
12 PENCILS SMALL TUBE SKULL,2010-05-01,250.25
12 PENCILS SMALL TUBE SKULL,2010-06-01,325.0
12 PENCILS SMALL TUBE SKULL,2010-07-01,172.9
12 PENCILS SMALL TUBE SKULL,2010-08-01,194.35
12 PENCILS SMALL TUBE SKULL,2010-09-01,341.25
12 PENCILS SMALL TUBE SKULL,2010-10-01,368.55
12 PENCILS SMALL TUBE SKULL,2010-11-01,840.6
12 PENCILS SMALL TUBE SKULL,2010-12-01,368.55
12 PENCILS SMALL TUBE SKULL,2011-01-01,198.9
12 PENCILS SMALL TUBE SKULL,2011-02-01,109.85
12 PENCILS SMALL TUBE SKULL,2011-03-01,576.4
12 PENCILS SMALL TUBE SKULL,2011-04-01,308.1
12 PENCILS SMALL TUBE SKULL,2011-05-01,339.3
12 PENCILS SMALL TUBE SKULL,2011-06-01,491.4
12 PENCILS SMALL TUBE SKULL,2011-07-01,231.4
12 PENCILS SMALL TUBE SKULL,2011-08-01,611.2
12 PENCILS SMALL TUBE SKULL,2011-09-01,226.2
12 PENCILS SMALL TUBE SKULL,2011-10-01,567.15
12 PENCILS SMALL TUBE SKULL,2011-11-01,358.1
12 PENCILS SMALL TUBE SKULL,2011-12-01,7.8
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2009-12-01,1152.3
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-02-01,83.4
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-03-01,15.9
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-04-01,7.95
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-05-01,47.7
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-07-01,127.2
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-08-01,305.85
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-09-01,758.85
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-10-01,2212.95
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-11-01,4579.65
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-12-01,1081.05
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-01-01,15.9
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-05-01,15.9
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-07-01,147.0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-08-01,111.3
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-09-01,2367.75
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-10-01,1335.15
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-11-01,4423.8
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-12-01,302.1
20 DOLLY PEGS RETROSPOT,2010-03-01,42.5
20 DOLLY PEGS RETROSPOT,2010-04-01,333.89
20 DOLLY PEGS RETROSPOT,2010-05-01,438.89
20 DOLLY PEGS RETROSPOT,2010-06-01,498.15
20 DOLLY PEGS RETROSPOT,2010-07-01,682.3
20 DOLLY PEGS RETROSPOT,2010-08-01,355.14
20 DOLLY PEGS RETROSPOT,2010-09-01,432.27
20 DOLLY PEGS RETROSPOT,2010-10-01,427.23
20 DOLLY PEGS RETROSPOT,2010-11-01,345.88
20 DOLLY PEGS RETROSPOT,2010-12-01,649.4
20 DOLLY PEGS RETROSPOT,2011-01-01,112.5
20 DOLLY PEGS RETROSPOT,2011-02-01,280.88
20 DOLLY PEGS RETROSPOT,2011-03-01,221.25
20 DOLLY PEGS RETROSPOT,2011-04-01,925.0
20 DOLLY PEGS RETROSPOT,2011-06-01,8.7
20 DOLLY PEGS RETROSPOT,2011-07-01,107.3
20 DOLLY PEGS RETROSPOT,2011-08-01,277.5
20 DOLLY PEGS RETROSPOT,2011-09-01,176.9
20 DOLLY PEGS RETROSPOT,2011-10-01,280.95
20 DOLLY PEGS RETROSPOT,2011-11-01,178.35
20 DOLLY PEGS RETROSPOT,2011-12-01,47.85
3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-08-01,98.45
3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-09-01,1384.65
3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-10-01,1492.7
3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-11-01,2445.15
3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-12-01,774.78
3 HEARTS HANGING DECORATION RUSTIC,2009-12-01,2.95
3 HEARTS HANGING DECORATION RUSTIC,2010-05-01,297.95
3 HEARTS HANGING DECORATION RUSTIC,2010-06-01,56.05
3 HEARTS HANGING DECORATION RUSTIC,2010-07-01,486.75
3 HEARTS HANGING DECORATION RUSTIC,2010-08-01,1517.15
3 HEARTS HANGING DECORATION RUSTIC,2010-09-01,2628.25
3 HEARTS HANGING DECORATION RUSTIC,2010-10-01,3155.35
3 HEARTS HANGING DECORATION RUSTIC,2010-11-01,6443.5
3 HEARTS HANGING DECORATION RUSTIC,2010-12-01,2310.7
3 HEARTS HANGING DECORATION RUSTIC,2011-01-01,23.6
3 HEARTS HANGING DECORATION RUSTIC,2011-03-01,5.9
3 HEARTS HANGING DECORATION RUSTIC,2011-04-01,23.6
3 HEARTS HANGING DECORATION RUSTIC,2011-05-01,56.05
3 HEARTS HANGING DECORATION RUSTIC,2011-06-01,53.1
3 HEARTS HANGING DECORATION RUSTIC,2011-07-01,67.85
3 HEARTS HANGING DECORATION RUSTIC,2011-08-01,1090.35
3 HEARTS HANGING DECORATION RUSTIC,2011-09-01,899.64
3 HEARTS HANGING DECORATION RUSTIC,2011-10-01,1956.09
3 HEARTS HANGING DECORATION RUSTIC,2011-11-01,2342.09
3 HEARTS HANGING DECORATION RUSTIC,2011-12-01,351.89
3 HOOK HANGER MAGIC GARDEN,2010-09-01,715.5
3 HOOK HANGER MAGIC GARDEN,2010-10-01,365.1
3 HOOK HANGER MAGIC GARDEN,2010-11-01,679.8
3 HOOK HANGER MAGIC GARDEN,2010-12-01,280.8
3 HOOK HANGER MAGIC GARDEN,2011-01-01,443.85
3 HOOK HANGER MAGIC GARDEN,2011-02-01,327.6
3 HOOK HANGER MAGIC GARDEN,2011-03-01,263.7
3 HOOK HANGER MAGIC GARDEN,2011-04-01,384.9
3 HOOK HANGER MAGIC GARDEN,2011-05-01,345.6
3 HOOK HANGER MAGIC GARDEN,2011-06-01,79.95
3 HOOK HANGER MAGIC GARDEN,2011-07-01,64.35
3 HOOK HANGER MAGIC GARDEN,2011-08-01,570.75
3 HOOK HANGER MAGIC GARDEN,2011-09-01,247.65
3 HOOK PHOTO SHELF ANTIQUE WHITE,2009-12-01,244.8
3 HOOK PHOTO SHELF ANTIQUE WHITE,2010-01-01,204.0
3 HOOK PHOTO SHELF ANTIQUE WHITE,2010-02-01,238.0
3 HOOK PHOTO SHELF ANTIQUE WHITE,2010-03-01,1111.04
3 HOOK PHOTO SHELF ANTIQUE WHITE,2010-04-01,1953.22
3 HOOK PHOTO SHELF ANTIQUE WHITE,2010-05-01,567.8
3 HOOK PHOTO SHELF ANTIQUE WHITE,2010-06-01,907.04
3 HOOK PHOTO SHELF ANTIQUE WHITE,2010-07-01,323.0
3 HOOK PHOTO SHELF ANTIQUE WHITE,2010-08-01,837.34
3 HOOK PHOTO SHELF ANTIQUE WHITE,2010-09-01,312.8
3 HOOK PHOTO SHELF ANTIQUE WHITE,2010-10-01,1006.4
3 HOOK PHOTO SHELF ANTIQUE WHITE,2010-11-01,1626.9
3 HOOK PHOTO SHELF ANTIQUE WHITE,2010-12-01,776.9
3 HOOK PHOTO SHELF ANTIQUE WHITE,2011-01-01,549.1
3 HOOK PHOTO SHELF ANTIQUE WHITE,2011-02-01,1235.9
3 HOOK PHOTO SHELF ANTIQUE WHITE,2011-03-01,1254.8
3 HOOK PHOTO SHELF ANTIQUE WHITE,2011-04-01,510.0
3 HOOK PHOTO SHELF ANTIQUE WHITE,2011-05-01,1163.72
3 HOOK PHOTO SHELF ANTIQUE WHITE,2011-06-01,2512.86
3 HOOK PHOTO SHELF ANTIQUE WHITE,2011-07-01,2392.16
3 HOOK PHOTO SHELF ANTIQUE WHITE,2011-08-01,748.04
3 HOOK PHOTO SHELF ANTIQUE WHITE,2011-09-01,236.3
3 HOOK PHOTO SHELF ANTIQUE WHITE,2011-10-01,76.5
3 HOOK PHOTO SHELF ANTIQUE WHITE,2011-11-01,802.4
3 HOOK PHOTO SHELF ANTIQUE WHITE,2011-12-01,323.0
3 PIECE SPACEBOY COOKIE CUTTER SET,2010-11-01,262.5
3 PIECE SPACEBOY COOKIE CUTTER SET,2010-12-01,472.5
3 PIECE SPACEBOY COOKIE CUTTER SET,2011-01-01,622.8
3 PIECE SPACEBOY COOKIE CUTTER SET,2011-02-01,801.6
3 PIECE SPACEBOY COOKIE CUTTER SET,2011-03-01,751.2
3 PIECE SPACEBOY COOKIE CUTTER SET,2011-04-01,155.4
3 PIECE SPACEBOY COOKIE CUTTER SET,2011-05-01,136.5
3 PIECE SPACEBOY COOKIE CUTTER SET,2011-06-01,90.3
3 PIECE SPACEBOY COOKIE CUTTER SET,2011-07-01,346.2
3 PIECE SPACEBOY COOKIE CUTTER SET,2011-08-01,268.8
3 PIECE SPACEBOY COOKIE CUTTER SET,2011-09-01,478.43
3 PIECE SPACEBOY COOKIE CUTTER SET,2011-10-01,335.72
3 PIECE SPACEBOY COOKIE CUTTER SET,2011-11-01,554.26
3 PIECE SPACEBOY COOKIE CUTTER SET,2011-12-01,201.53
3 STRIPEY MICE FELTCRAFT,2010-02-01,1.95
3 STRIPEY MICE FELTCRAFT,2010-03-01,1033.65
3 STRIPEY MICE FELTCRAFT,2010-04-01,169.65
3 STRIPEY MICE FELTCRAFT,2010-05-01,1496.55
3 STRIPEY MICE FELTCRAFT,2010-06-01,218.4
3 STRIPEY MICE FELTCRAFT,2010-07-01,456.0
3 STRIPEY MICE FELTCRAFT,2010-08-01,601.25
3 STRIPEY MICE FELTCRAFT,2010-09-01,599.4
3 STRIPEY MICE FELTCRAFT,2010-10-01,1722.3
3 STRIPEY MICE FELTCRAFT,2010-11-01,777.45
3 STRIPEY MICE FELTCRAFT,2010-12-01,668.55
3 STRIPEY MICE FELTCRAFT,2011-01-01,87.75
3 STRIPEY MICE FELTCRAFT,2011-02-01,397.2
3 STRIPEY MICE FELTCRAFT,2011-03-01,428.7
3 STRIPEY MICE FELTCRAFT,2011-04-01,167.7
3 STRIPEY MICE FELTCRAFT,2011-05-01,342.9
3 STRIPEY MICE FELTCRAFT,2011-06-01,565.95
3 STRIPEY MICE FELTCRAFT,2011-07-01,276.9
3 STRIPEY MICE FELTCRAFT,2011-08-01,562.65
3 STRIPEY MICE FELTCRAFT,2011-09-01,502.73
3 STRIPEY MICE FELTCRAFT,2011-10-01,554.19
3 STRIPEY MICE FELTCRAFT,2011-11-01,766.97
3 STRIPEY MICE FELTCRAFT,2011-12-01,376.21
3 TIER CAKE TIN GREEN AND CREAM,2010-10-01,744.85
3 TIER CAKE TIN GREEN AND CREAM,2010-11-01,889.05
3 TIER CAKE TIN GREEN AND CREAM,2010-12-01,433.55
3 TIER CAKE TIN GREEN AND CREAM,2011-01-01,281.4
3 TIER CAKE TIN GREEN AND CREAM,2011-02-01,503.0
3 TIER CAKE TIN GREEN AND CREAM,2011-03-01,716.65
3 TIER CAKE TIN GREEN AND CREAM,2011-04-01,194.35
3 TIER CAKE TIN GREEN AND CREAM,2011-05-01,713.15
3 TIER CAKE TIN GREEN AND CREAM,2011-06-01,209.3
3 TIER CAKE TIN GREEN AND CREAM,2011-07-01,257.65
3 TIER CAKE TIN GREEN AND CREAM,2011-08-01,269.1
3 TIER CAKE TIN GREEN AND CREAM,2011-09-01,799.43
3 TIER CAKE TIN GREEN AND CREAM,2011-10-01,224.25
3 TIER CAKE TIN GREEN AND CREAM,2011-11-01,457.38
3 TIER CAKE TIN GREEN AND CREAM,2011-12-01,29.9
3 TIER CAKE TIN RED AND CREAM,2010-10-01,1559.15
3 TIER CAKE TIN RED AND CREAM,2010-11-01,1230.25
3 TIER CAKE TIN RED AND CREAM,2010-12-01,313.95
3 TIER CAKE TIN RED AND CREAM,2011-01-01,1622.8
3 TIER CAKE TIN RED AND CREAM,2011-02-01,695.15
3 TIER CAKE TIN RED AND CREAM,2011-03-01,1729.65
3 TIER CAKE TIN RED AND CREAM,2011-05-01,1222.3
3 TIER CAKE TIN RED AND CREAM,2011-06-01,351.3
3 TIER CAKE TIN RED AND CREAM,2011-07-01,257.65
3 TIER CAKE TIN RED AND CREAM,2011-08-01,209.3
3 TIER CAKE TIN RED AND CREAM,2011-09-01,845.05
3 TIER CAKE TIN RED AND CREAM,2011-10-01,388.7
3 TIER CAKE TIN RED AND CREAM,2011-11-01,1131.83
3 TIER CAKE TIN RED AND CREAM,2011-12-01,74.75
36 DOILIES VINTAGE CHRISTMAS,2010-09-01,2161.5
36 DOILIES VINTAGE CHRISTMAS,2010-10-01,1393.65
36 DOILIES VINTAGE CHRISTMAS,2010-11-01,30.45
36 DOILIES VINTAGE CHRISTMAS,2011-06-01,17.4
36 DOILIES VINTAGE CHRISTMAS,2011-07-01,1481.05
36 DOILIES VINTAGE CHRISTMAS,2011-08-01,1001.3
36 DOILIES VINTAGE CHRISTMAS,2011-09-01,3159.25
36 DOILIES VINTAGE CHRISTMAS,2011-10-01,1329.85
36 DOILIES VINTAGE CHRISTMAS,2011-11-01,17.4
36 FOIL HEART CAKE CASES,2010-11-01,891.3
36 FOIL HEART CAKE CASES,2010-12-01,492.6
36 FOIL HEART CAKE CASES,2011-01-01,649.2
36 FOIL HEART CAKE CASES,2011-02-01,419.7
36 FOIL HEART CAKE CASES,2011-03-01,384.0
36 FOIL HEART CAKE CASES,2011-04-01,121.8
36 FOIL HEART CAKE CASES,2011-05-01,323.1
36 FOIL HEART CAKE CASES,2011-06-01,183.3
36 FOIL HEART CAKE CASES,2011-07-01,147.0
36 FOIL HEART CAKE CASES,2011-08-01,638.1
36 FOIL HEART CAKE CASES,2011-09-01,284.7
36 FOIL HEART CAKE CASES,2011-10-01,180.46
36 FOIL HEART CAKE CASES,2011-11-01,136.96
36 FOIL HEART CAKE CASES,2011-12-01,83.74
36 PENCILS TUBE RED RETROSPOT,2010-09-01,61.25
36 PENCILS TUBE RED RETROSPOT,2010-10-01,383.75
36 PENCILS TUBE RED RETROSPOT,2010-11-01,779.43
36 PENCILS TUBE RED RETROSPOT,2010-12-01,266.25
36 PENCILS TUBE RED RETROSPOT,2011-01-01,58.75
36 PENCILS TUBE RED RETROSPOT,2011-02-01,209.43
36 PENCILS TUBE RED RETROSPOT,2011-03-01,298.75
36 PENCILS TUBE RED RETROSPOT,2011-04-01,205.0
