Description,total_quantity,total_sales
FULL ENGLISH BREAKFAST PLATE,1502,6330.049999999999
RED KITCHEN SCALES,687,6260.640000000001
TRADITIONAL MODELLING CLAY,5373,6226.460000000001
VINTAGE SNAP CARDS,7351,6211.910000000004
ENGLISH ROSE DESIGN QUILTED THROW,240,6204.359999999999
RED SPOTTY ROUND CAKE TINS,624,6198.040000000001
72 SWEETHEART FAIRY CAKE CASES,12355,6186.769999999998
PINK/BROWN DOTS RUFFLED UMBRELLA,1828,6176.95
JUMBO BAG ALPHABET,3125,6159.450000000001
ENAMEL BREAD BIN CREAM,445,6142.990000000001
DOOR MAT FAIRY CAKE,919,6075.429999999999
VINTAGE UNION JACK CUSHION COVER,1150,6066.430000000001
SET/5 RED RETROSPOT LID GLASS BOWLS,2039,5990.450000000003
"""RECORD FRAME 7"""" SINGLE SIZE """,2470,5987.839999999999
ENAMEL FLOWER JUG CREAM,984,5966.369999999999
POTTERING IN THE SHED METAL SIGN,2969,5954.550000000004
HEART IVORY TRELLIS SMALL,4500,5952.34
HOME SWEET HOME METAL SIGN,2150,5939.240000000001
LUNCH BAG APPLE DESIGN,3579,5932.800000000001
PINK CHERRY LIGHTS,947,5919.790000000001
RED RETROSPOT MINI CASES,815,5901.630000000001
MULTI COLOUR SILVER T-LIGHT HOLDER,7055,5863.790000000003
RETRO COFFEE MUGS ASSORTED,3560,5833.34
PAPER CHAIN KIT RETROSPOT,1780,5831.740000000003
SET/3 RUSSIAN DOLL STACKING TINS,1142,5787.64
Adjustment by john on 26/01/2010 17,6,5762.959999999999
PINK CREAM FELT CRAFT TRINKET BOX,4559,5689.6
VINTAGE SNAKES & LADDERS,1409,5675.78
DELUXE SEWING KIT,656,5643.379999999997
HAND WARMER OWL DESIGN,2642,5642.419999999997
SUKI  SHOULDER BAG,3144,5604.979999999999
PACK OF 6 BIRDY GIFT TAGS,4580,5578.0199999999995
JUMBO BAG PINK WITH WHITE SPOTS,3076,5419.479999999998
SET/6 RED SPOTTY PAPER PLATES,7256,5417.000000000001
POPCORN HOLDER,6198,5409.859999999999
STRAWBERRY   PICNIC BAG,1857,5399.81
HAND WARMER SCOTTY DOG DESIGN,2480,5387.849999999998
PLASTERS IN TIN CIRCUS PARADE,3251,5385.829999999997
ANTIQUE SILVER TEA GLASS ENGRAVED,4514,5380.04
ROSE COTTAGE KEEPSAKE BOX,538,5340.590000000003
DOORMAT SPOTTY HOME SWEET HOME,654,5319.450000000001
RETROSPOT TEA SET CERAMIC 11 PC,1018,5313.699999999999
BAKING SET SPACEBOY DESIGN,1091,5303.009999999999
MEMO BOARD COTTAGE DESIGN,1082,5289.109999999999
DOOR MAT ENGLISH ROSE,786,5260.329999999998
VICTORIAN SEWING BOX MEDIUM,550,5256.24
EDWARDIAN PARASOL PINK,1187,5179.139999999999
UTILTY CABINET WITH HOOKS,259,5173.63
RED 3 PIECE RETROSPOT CUTLERY SET,1323,5159.829999999999
SET OF 3 HEART COOKIE CUTTERS,3968,5158.900000000001
PLASTERS IN TIN VINTAGE PAISLEY,3135,5150.109999999999
PINK BLUE FELT CRAFT TRINKET BOX,4230,5139.71
CAKE STAND 3 TIER MAGIC GARDEN,407,5102.299999999999
FAIRY CAKE CANDLES,3753,5099.489999999996
AREA PATROLLED METAL SIGN,2459,5077.190000000001
FAMILY ALBUM WHITE PICTURE FRAME,569,5071.000000000001
UNION STRIPE WITH FRINGE  HAMMOCK,664,5056.680000000001
JUMBO BAG CHARLIE AND LOLA TOYS,2634,5038.240000000001
WOODEN SCHOOL COLOURING SET,3110,5015.919999999997
PAPER BUNTING COLOURED LACE,1710,5007.150000000002
BIRD HOUSE HOT WATER BOTTLE,1384,4995.929999999999
HALL CABINET WITH 3 DRAWERS,148,4957.209999999999
WEEKEND BAG VINTAGE ROSE PAISLEY,607,4931.9800000000005
VICTORIAN SEWING BOX SMALL,815,4916.239999999999
STRAWBERRY LUNCH BOX WITH CUTLERY,1955,4891.129999999998
PACK OF 12 HEARTS DESIGN TISSUES,12957,4868.2699999999995
HEART IVORY TRELLIS LARGE,2951,4861.089999999998
LUNCH BAG PINK POLKADOT,2890,4857.330000000001
HAND WARMER UNION JACK,2364,4846.099999999996
SET 2 TEA TOWELS I LOVE LONDON,1579,4825.710000000001
SET/3 RED GINGHAM ROSE STORAGE BOX,1225,4803.25
DOORMAT ENGLISH ROSE,646,4799.470000000003
SAVE THE PLANET MUG,3959,4796.45
WHITE WOOD GARDEN PLANT LADDER,479,4774.180000000005
FELTCRAFT CUSHION RABBIT,1257,4771.15
BEWARE OF THE CAT METAL SIGN,2820,4752.860000000001
HEART FILIGREE DOVE LARGE,2881,4745.329999999999
RETRO SPOT TRADITIONAL TEAPOT,595,4713.170000000003
PAINTED METAL PEARS ASSORTED,2703,4700.5999999999985
JUMBO BAG DOILEY PATTERNS,2443,4695.240000000005
PLASTERS IN TIN STRONGMAN,2809,4679.399999999999
VINTAGE RED KITCHEN CABINET,33,4664.5
DOOR MAT 3 SMILEY CATS,739,4662.070000000001
HOME SWEET HOME MUG,4156,4649.5
BOYS VINTAGE TIN SEASIDE BUCKET,1910,4633.869999999999
PINK DOUGHNUT TRINKET POT,3036,4628.120000000001
SET OF 3 BUTTERFLY COOKIE CUTTERS,3313,4625.14
SWEETHEART CAKESTAND 3 TIER,450,4618.430000000002
RED RETROSPOT TRADITIONAL TEAPOT,582,4595.660000000002
FELTCRAFT BUTTERFLY HEARTS,3124,4589.030000000001
BATH BUILDING BLOCK WORD,738,4580.930000000002
SET/20 RED SPOTTY PAPER NAPKINS,6065,4579.4699999999975
JUMBO BAG VINTAGE LEAF,2342,4575.8600000000015
WOODEN BOX OF DOMINOES,3525,4562.969999999999
ANTIQUE LILY FAIRY LIGHTS,997,4559.61
PINK VINTAGE PAISLEY PICNIC BAG,2041,4538.37
DOOR MAT TOPIARY,726,4477.1900000000005
SET 10 LIGHTS NIGHT OWL,616,4471.42
CHARLIE+LOLA PINK HOT WATER BOTTLE,1617,4461.790000000001
FELTCRAFT CUSHION BUTTERFLY,1158,4453.299999999999
BREAD BIN DINER STYLE IVORY,279,4446.130000000002
FILIGRIS HEART WITH BUTTERFLY,3532,4412.389999999999
FELTCRAFT CUSHION OWL,1150,4408.459999999999
WHITE SPOT BLUE CERAMIC DRAWER KNOB,3341,4408.0
PINK 3 PIECE POLKADOT CUTLERY SET,1164,4393.39
OPEN CLOSED METAL SIGN,924,4361.42
LONDON BUS COFFEE MUG,1912,4350.619999999999
TWO DOOR CURIO CABINET,326,4343.139999999999
SET/6 PINK  BUTTERFLY T-LIGHTS,2258,4342.130000000001
SET OF 6 SOLDIER SKITTLES,1189,4341.929999999999
ALARM CLOCK BAKELIKE ORANGE,1120,4338.450000000001
SET/20 RED RETROSPOT PAPER NAPKINS,5034,4304.100000000004
LUNCH BAG SUKI DESIGN,2313,4297.4000000000015
FAIRY TALE COTTAGE NIGHTLIGHT,2502,4296.620000000001
TRADITIONAL WOODEN SKIPPING ROPE,3241,4270.049999999999
RED RETROSPOT ROUND CAKE TINS,381,4246.470000000001
GIRLS VINTAGE TIN SEASIDE BUCKET,1742,4238.519999999999
ANTIQUE SILVER T-LIGHT GLASS,3238,4222.91
FANCY FONT HOME SWEET HOME DOORMAT,640,4216.58
SET OF 2 WOODEN MARKET CRATES,319,4206.1
NATURAL SLATE CHALKBOARD LARGE,733,4197.430000000001
SET OF 72 PINK HEART PAPER DOILIES,2617,4196.700000000002
COFFEE MUG APPLES DESIGN,1690,4167.789999999997
BINGO SET,1013,4164.9
COFFEE MUG CAT + BIRD DESIGN,1559,4163.359999999998
HANGING METAL HEART LANTERN,2711,4161.5
FRYING PAN UNION FLAG,862,4151.0
BLUE HARMONICA IN BOX,3262,4150.31
GROW YOUR OWN PLANT IN A CAN,3255,4140.670000000001
PACK OF 60 DINOSAUR CAKE CASES,8349,4139.780000000002
SOMBRERO,3157,4092.55
PACK OF 12 SUKI TISSUES,10482,4061.3799999999997
PICCADILLY TEA SET,285,4054.6899999999996
RIBBON REEL STRIPES DESIGN,2339,4031.7599999999998
PINK REGENCY TEACUP AND SAUCER,1321,4023.1500000000024
POTTING SHED TEA MUG,3123,4022.8099999999995
LARGE POPCORN HOLDER,2187,4015.5199999999986
VINTAGE CREAM 3 BASKET CAKE STAND,405,4010.68
GREEN 3 PIECE MINI DOTS CUTLERY SET,1121,4007.87
METAL 4 HOOK HANGER FRENCH CHATEAU,1347,4003.740000000001
REGENCY TEAPOT ROSES,425,4000.5500000000043
YOU'RE CONFUSING ME METAL SIGN,2445,3987.38
DOOR MAT MULTICOLOUR STRIPE,625,3984.5699999999997
DOG BOWL CHASING BALL DESIGN,995,3984.2299999999996
UNION JACK GUNS & ROSES  DOORMAT,764,3980.359999999999
AGED GLASS SILVER T-LIGHT HOLDER,6120,3978.31
PINK PARTY BAGS,2077,3975.71
VINYL RECORD FRAME SILVER,1110,3974.8199999999993
HOT WATER BOTTLE KEEP CALM,680,3974.68
"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",800,3965.359999999999
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",721,3941.1899999999996
RED GINGHAM ROSE JEWELLERY BOX,2211,3926.06
PICTURE FRAME WOOD TRIPLE PORTRAIT,578,3924.48
LARGE HEART MEASURING SPOONS,2161,3921.249999999997
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1883,3912.9799999999996
AFGHAN SLIPPER SOCK PAIR,1221,3912.4500000000003
FELTCRAFT DOLL MOLLY,1306,3899.7200000000016
GLITTER BUTTERFLY CLIPS,1564,3873.3999999999996
DOOR MAT RED SPOT,551,3843.3499999999995
LARGE CAKE TOWEL PINK SPOTS,999,3821.1000000000004
3 TIER CAKE TIN RED AND CREAM,257,3814.1100000000006
VINTAGE DOILY JUMBO BAG RED,2081,3810.6800000000017
CHRISTMAS LIGHTS 10 REINDEER,398,3808.4900000000007
SET/6 RED SPOTTY PAPER CUPS,6039,3801.879999999999
SWEETHEART RECIPE BOOK STAND,499,3801.790000000001
WOODEN OWLS LIGHT GARLAND,1062,3800.8599999999997
PHOTO CUBE,2141,3780.019999999999
PLEASE ONE PERSON  METAL SIGN,1824,3777.769999999998
MINT KITCHEN SCALES,426,3761.84
POLKADOT CUTLERY 24 PCS IN TRAY,370,3759.47
LUNCH BOX WITH CUTLERY RETROSPOT,1434,3757.7999999999997
SET OF 72 RETRO SPOT PAPER  DOILIES,2599,3757.300000000003
MOROCCAN TEA GLASS,4518,3746.28
SET/10 RED SPOTTY PARTY CANDLES,3138,3727.98
SET3 BOOK BOX GREEN GINGHAM FLOWER,932,3722.4399999999996
HAND WARMER RED RETROSPOT,1778,3717.5099999999993
CHARLOTTE BAG PINK POLKADOT,2742,3710.24
SPOTTY  HOME SWEET HOME DOORMAT,624,3702.84
PLASTERS IN TIN SKULLS,2176,3691.5199999999986
BREAD BIN DINER STYLE RED,233,3678.35
RED RETROSPOT UMBRELLA,588,3666.3700000000013
LUNCH BAG DOILEY PATTERN,2307,3653.830000000001
PAPER BUNTING VINTAGE PAISLEY,1275,3647.5300000000007
TRADITIONAL KNITTING NANCY,2344,3633.409999999999
WHITE WIRE EGG HOLDER,627,3612.3
CREAM SLICE FLANNEL PINK SPOT,1277,3611.100000000001
SCANDINAVIAN PAISLEY PICNIC BAG,1653,3609.8300000000004
BLUE 3 PIECE POLKADOT CUTLERY SET,998,3609.58
SET OF 4 PANTRY JELLY MOULDS,2875,3599.9300000000003
PACK OF 6 PANNETONE GIFT BOXES,1413,3590.709999999998
15CM CHRISTMAS GLASS BALL 20 LIGHTS,376,3586.2400000000002
SET/2 RED SPOTTY TEA TOWELS,1221,3584.7900000000027
6 EGG HOUSE PAINTED WOOD,450,3570.87
CHRISTMAS TOILET ROLL,1763,3569.3
DOORMAT WELCOME TO OUR HOME,426,3568.9100000000008
COFFEE MUG PEARS  DESIGN,1423,3555.649999999999
CHARLIE + LOLA BISCUITS TINS,877,3539.0500000000006
GLASS  BEURRE DISH,823,3536.9900000000007
WHITE SPOT RED CERAMIC DRAWER KNOB,2730,3528.7599999999998
DOOR MAT WELCOME PUPPIES,544,3526.87
RED DINER WALL CLOCK,401,3523.3100000000004
CAKE STAND WHITE TWO TIER LACE,467,3522.44
GINGHAM HEART  DOORSTOP RED,996,3521.88
COFFEE MUG DOG + BALL DESIGN,1338,3506.339999999999
12 EGG HOUSE PAINTED WOOD,294,3504.9600000000005
CHARLIE + LOLA RED HOT WATER BOTTLE,1463,3486.0300000000016
LARGE CIRCULAR MIRROR MOBILE,3574,3480.77
RETRO SPOT LARGE MILK JUG,707,3470.460000000001
CAMOUFLAGE LED TORCH,1993,3453.789999999999
FELTCRAFT DOLL ROSIE,1183,3445.460000000001
BLUE DINER WALL CLOCK,387,3440.6000000000004
RED WHITE SCARF  HOT WATER BOTTLE,760,3437.3199999999997
PLACE SETTING WHITE HEART,8073,3423.3200000000006
RED RETROSPOT SMALL MILK JUG,1410,3415.3599999999974
ALARM CLOCK BAKELIKE IVORY,836,3406.0499999999997
T-LIGHT GLASS FLUTED ANTIQUE,2686,3400.13
WELCOME  WOODEN BLOCK LETTERS,322,3391.3300000000017
TRAVEL SEWING KIT,1891,3390.08
ENCHANTED BIRD COATHANGER 5 HOOK,774,3378.7400000000002
LIGHT PINK CHERRY LIGHTS,575,3374.810000000001
LUNCH BAG ALPHABET DESIGN,2073,3370.07
I CAN ONLY PLEASE ONE PERSON MUG,2617,3365.6600000000008
LARGE RED RETROSPOT WINDMILL,1718,3355.7299999999996
RED SPOTTY CHARLOTTE BAG,3944,3338.710000000001
FOOD CONTAINER SET 3 LOVE HEART,1726,3336.6200000000003
PARTY METAL SIGN,2308,3334.6099999999997
SOLDIERS EGG CUP,2635,3332.7799999999997
FOUR HOOK  WHITE LOVEBIRDS,1576,3328.950000000001
SWEETHEART KEY CABINET,596,3316.34
ENAMEL MEASURING JUG CREAM,770,3309.4399999999996
SET/3 VANILLA SCENTED CANDLE IN BOX,734,3304.6799999999994
CARRIAGE,65,3286.0
BOX OF 24 COCKTAIL PARASOLS,7281,3283.759999999999
CANDLEHOLDER PINK HANGING HEART,1145,3269.610000000001
S/4 CACTI CANDLES,718,3267.939999999999
CHILDS BREAKFAST SET SPACEBOY,344,3259.139999999999
CERAMIC STRAWBERRY CAKE MONEY BANK,2529,3258.7999999999997
S/4 VALENTINE DECOUPAGE HEART BOX,1713,3248.2600000000016
RED RETROSPOT MUG,1121,3244.9100000000017
IVORY HANGING DECORATION  HEART,3784,3240.29
PICTURE DOMINOES,2213,3237.8200000000006
PINK FAIRY CAKE CHILD'S APRON,1724,3232.8499999999985
GINGERBREAD MAN COOKIE CUTTER,2617,3227.4700000000003
RED HEART SHAPE LOVE BUCKET,1565,3220.8000000000006
SET/10 PINK SPOTTY PARTY CANDLES,2700,3217.86
3 HEARTS HANGING DECORATION RUSTIC,1101,3214.119999999999
5 HOOK HANGER RED MAGIC TOADSTOOL,2126,3210.8899999999994
WHEELBARROW FOR CHILDREN,257,3205.0200000000004
SET/2 RED RETROSPOT TEA TOWELS,947,3193.5300000000007
WOODEN HAPPY BIRTHDAY GARLAND,1073,3192.9399999999996
MINI CAKE STAND WITH HANGING CAKES,2233,3189.209999999999
SKULL SHOULDER BAG,1710,3184.7699999999995
KASHMIR FOLKART TUMBLERS,1507,3177.7199999999993
STRAWBERRY SHOPPER BAG,2742,3176.8900000000003
PHARMACIE FIRST AID TIN,412,3175.8799999999997
LUNCH BAG PINK RETROSPOT,1960,3174.330000000002
DOOR MAT SPOTTY HOME SWEET HOME,460,3173.4299999999994
GARDENERS KNEELING PAD,2552,3170.2200000000007
UNION JACK HOT WATER BOTTLE,498,3169.529999999997
ENGLISH ROSE HOT WATER BOTTLE,658,3169.13
MA CAMPAGNE CUTLERY BOX,202,3168.21
SET OF 36 TEATIME PAPER DOILIES,2102,3161.649999999999
PINK FLORAL FELTCRAFT SHOULDER BAG,818,3157.6299999999997
"""ASSORTED FLOWER COLOUR """"LEIS""""""",6453,3147.08
BAG 250g SWIRLY MARBLES,4024,3135.34
