Description,InvoiceMonth,TotalPrice,Year,Month,prev_month_sales,rolling_3m_avg,sales_delta,is_holiday_month
10 COLOUR SPACEBOY PEN,2011-04-01,183.6,2011,4,346.8,238.0,-54.400000000000006,1
10 COLOUR SPACEBOY PEN,2011-05-01,521.88,2011,5,183.6,350.76,171.12,1
10 COLOUR SPACEBOY PEN,2011-06-01,501.48,2011,6,521.88,402.32,99.16000000000003,0
10 COLOUR SPACEBOY PEN,2011-07-01,376.53,2011,7,501.48,466.62999999999994,-90.09999999999997,0
10 COLOUR SPACEBOY PEN,2011-08-01,483.61,2011,8,376.53,453.8733333333333,29.736666666666736,0
10 COLOUR SPACEBOY PEN,2011-09-01,468.19,2011,9,483.61,442.77666666666664,25.413333333333355,0
10 COLOUR SPACEBOY PEN,2011-10-01,689.55,2011,10,468.19,547.1166666666667,142.43333333333328,0
10 COLOUR SPACEBOY PEN,2011-11-01,667.89,2011,11,689.55,608.5433333333334,59.34666666666658,0
10 COLOUR SPACEBOY PEN,2011-12-01,86.49,2011,12,667.89,481.31,-394.82,1
12 EGG HOUSE PAINTED WOOD,2010-01-01,1507.85,2010,1,291.6,899.7249999999999,608.125,1
12 EGG HOUSE PAINTED WOOD,2010-02-01,240.6,2010,2,1507.85,680.0166666666665,-439.4166666666665,0
12 EGG HOUSE PAINTED WOOD,2010-03-01,318.75,2010,3,240.6,689.0666666666666,-370.3166666666666,0
12 EGG HOUSE PAINTED WOOD,2010-04-01,153.0,2010,4,318.75,237.45000000000002,-84.45000000000002,1
12 EGG HOUSE PAINTED WOOD,2010-05-01,76.5,2010,5,153.0,182.75,-106.25,1
12 EGG HOUSE PAINTED WOOD,2010-06-01,63.75,2010,6,76.5,97.75,-34.0,0
12 EGG HOUSE PAINTED WOOD,2010-07-01,89.25,2010,7,63.75,76.5,12.75,0
12 EGG HOUSE PAINTED WOOD,2010-08-01,140.25,2010,8,89.25,97.75,42.5,0
12 EGG HOUSE PAINTED WOOD,2010-09-01,215.1,2010,9,140.25,148.20000000000002,66.89999999999998,0
12 EGG HOUSE PAINTED WOOD,2010-10-01,189.6,2010,10,215.1,181.65,7.949999999999989,0
12 EGG HOUSE PAINTED WOOD,2010-11-01,465.15,2010,11,189.6,289.95,175.2,0
12 EGG HOUSE PAINTED WOOD,2010-12-01,25.5,2010,12,465.15,226.75,-201.25,1
12 EGG HOUSE PAINTED WOOD,2011-01-01,140.25,2011,1,25.5,210.29999999999998,-70.04999999999998,1
12 EGG HOUSE PAINTED WOOD,2011-02-01,191.25,2011,2,140.25,119.0,72.25,0
12 EGG HOUSE PAINTED WOOD,2011-03-01,153.0,2011,3,191.25,161.5,-8.5,0
12 EGG HOUSE PAINTED WOOD,2011-04-01,127.5,2011,4,153.0,157.25,-29.75,1
12 EGG HOUSE PAINTED WOOD,2011-05-01,38.25,2011,5,127.5,106.25,-68.0,1
12 EGG HOUSE PAINTED WOOD,2011-06-01,63.75,2011,6,38.25,76.5,-12.75,0
12 EGG HOUSE PAINTED WOOD,2011-07-01,63.75,2011,7,63.75,55.25,8.5,0
12 EGG HOUSE PAINTED WOOD,2011-08-01,51.0,2011,8,63.75,59.5,-8.5,0
12 EGG HOUSE PAINTED WOOD,2011-09-01,102.0,2011,9,51.0,72.25,29.75,0
12 EGG HOUSE PAINTED WOOD,2011-10-01,215.67,2011,10,102.0,122.88999999999999,92.78,0
12 EGG HOUSE PAINTED WOOD,2011-11-01,227.85,2011,11,215.67,181.84,46.00999999999999,0
12 EGG HOUSE PAINTED WOOD,2011-12-01,25.5,2011,12,227.85,156.34,-130.84,1
12 MESSAGE CARDS WITH ENVELOPES,2010-10-01,596.85,2010,10,471.45,534.15,62.700000000000045,0
12 MESSAGE CARDS WITH ENVELOPES,2010-11-01,1098.75,2010,11,596.85,722.35,376.4,0
12 MESSAGE CARDS WITH ENVELOPES,2010-12-01,375.3,2010,12,1098.75,690.3000000000001,-315.00000000000006,1
12 MESSAGE CARDS WITH ENVELOPES,2011-01-01,127.05,2011,1,375.3,533.6999999999999,-406.6499999999999,1
12 MESSAGE CARDS WITH ENVELOPES,2011-02-01,184.35,2011,2,127.05,228.9,-44.55000000000001,0
12 MESSAGE CARDS WITH ENVELOPES,2011-03-01,97.35,2011,3,184.35,136.25,-38.900000000000006,0
12 MESSAGE CARDS WITH ENVELOPES,2011-04-01,138.6,2011,4,97.35,140.1,-1.5,1
12 MESSAGE CARDS WITH ENVELOPES,2011-05-01,341.1,2011,5,138.6,192.35,148.75000000000003,1
12 MESSAGE CARDS WITH ENVELOPES,2011-06-01,148.5,2011,6,341.1,209.4,-60.900000000000006,0
12 MESSAGE CARDS WITH ENVELOPES,2011-07-01,133.65,2011,7,148.5,207.75,-74.1,0
12 MESSAGE CARDS WITH ENVELOPES,2011-08-01,199.65,2011,8,133.65,160.6,39.05000000000001,0
12 MESSAGE CARDS WITH ENVELOPES,2011-09-01,157.95,2011,9,199.65,163.75,-5.800000000000011,0
12 MESSAGE CARDS WITH ENVELOPES,2011-10-01,217.8,2011,10,157.95,191.80000000000004,25.99999999999997,0
12 MESSAGE CARDS WITH ENVELOPES,2011-11-01,350.55,2011,11,217.8,242.1,108.45000000000002,0
12 MESSAGE CARDS WITH ENVELOPES,2011-12-01,214.05,2011,12,350.55,260.8,-46.75,1
12 PENCIL SMALL TUBE WOODLAND,2010-04-01,646.3,2010,4,239.15,442.72499999999997,203.575,1
12 PENCIL SMALL TUBE WOODLAND,2010-05-01,109.2,2010,5,646.3,331.55,-222.35000000000002,1
12 PENCIL SMALL TUBE WOODLAND,2010-06-01,193.05,2010,6,109.2,316.18333333333334,-123.13333333333333,0
12 PENCIL SMALL TUBE WOODLAND,2010-07-01,276.9,2010,7,193.05,193.04999999999998,83.85,0
12 PENCIL SMALL TUBE WOODLAND,2010-08-01,167.05,2010,8,276.9,212.33333333333334,-45.28333333333333,0
12 PENCIL SMALL TUBE WOODLAND,2010-09-01,207.35,2010,9,167.05,217.1,-9.75,0
12 PENCIL SMALL TUBE WOODLAND,2010-10-01,766.3,2010,10,207.35,380.2333333333333,386.06666666666666,0
12 PENCIL SMALL TUBE WOODLAND,2010-11-01,632.45,2010,11,766.3,535.3666666666667,97.08333333333337,0
12 PENCIL SMALL TUBE WOODLAND,2010-12-01,265.85,2010,12,632.45,554.8666666666667,-289.01666666666665,1
12 PENCIL SMALL TUBE WOODLAND,2011-01-01,105.3,2011,1,265.85,334.53333333333336,-229.23333333333335,1
12 PENCIL SMALL TUBE WOODLAND,2011-02-01,346.4,2011,2,105.3,239.1833333333333,107.21666666666667,0
12 PENCIL SMALL TUBE WOODLAND,2011-03-01,131.8,2011,3,346.4,194.5,-62.69999999999999,0
12 PENCIL SMALL TUBE WOODLAND,2011-04-01,227.5,2011,4,131.8,235.23333333333335,-7.7333333333333485,1
12 PENCIL SMALL TUBE WOODLAND,2011-05-01,63.7,2011,5,227.5,141.0,-77.3,1
12 PENCIL SMALL TUBE WOODLAND,2011-06-01,80.6,2011,6,63.7,123.93333333333332,-43.33333333333333,0
12 PENCIL SMALL TUBE WOODLAND,2011-07-01,3.9,2011,7,80.6,49.400000000000006,-45.50000000000001,0
12 PENCIL SMALL TUBE WOODLAND,2011-09-01,66.3,2011,9,3.9,50.26666666666667,16.033333333333324,0
12 PENCIL SMALL TUBE WOODLAND,2011-10-01,340.8,2011,10,66.3,137.0,203.8,0
12 PENCIL SMALL TUBE WOODLAND,2011-11-01,835.85,2011,11,340.8,414.31666666666666,421.53333333333336,0
12 PENCIL SMALL TUBE WOODLAND,2011-12-01,177.4,2011,12,835.85,451.3500000000001,-273.95000000000005,1
12 PENCILS SMALL TUBE RED RETROSPOT,2010-10-01,1010.1,2010,10,179.4,594.75,415.35,0
12 PENCILS SMALL TUBE RED RETROSPOT,2010-11-01,828.1,2010,11,1010.1,672.5333333333333,155.56666666666672,0
12 PENCILS SMALL TUBE RED RETROSPOT,2010-12-01,750.1,2010,12,828.1,862.7666666666668,-112.66666666666674,1
12 PENCILS SMALL TUBE RED RETROSPOT,2011-01-01,211.25,2011,1,750.1,596.4833333333333,-385.23333333333335,1
12 PENCILS SMALL TUBE RED RETROSPOT,2011-02-01,179.4,2011,2,211.25,380.25,-200.85,0
12 PENCILS SMALL TUBE RED RETROSPOT,2011-03-01,777.25,2011,3,179.4,389.3,387.95,0
12 PENCILS SMALL TUBE RED RETROSPOT,2011-04-01,276.25,2011,4,777.25,410.9666666666667,-134.7166666666667,1
12 PENCILS SMALL TUBE RED RETROSPOT,2011-05-01,370.5,2011,5,276.25,474.6666666666667,-104.16666666666669,1
12 PENCILS SMALL TUBE RED RETROSPOT,2011-09-01,176.15,2011,9,370.5,274.3,-98.15,0
12 PENCILS SMALL TUBE RED RETROSPOT,2011-10-01,930.0,2011,10,176.15,492.2166666666667,437.7833333333333,0
12 PENCILS SMALL TUBE RED RETROSPOT,2011-11-01,566.15,2011,11,930.0,557.4333333333334,8.716666666666583,0
12 PENCILS SMALL TUBE RED RETROSPOT,2011-12-01,195.65,2011,12,566.15,563.9333333333334,-368.2833333333334,1
12 PENCILS SMALL TUBE RED SPOTTY,2010-01-01,273.65,2010,1,391.3,332.475,-58.825000000000045,1
12 PENCILS SMALL TUBE RED SPOTTY,2010-02-01,189.8,2010,2,273.65,284.9166666666667,-95.11666666666667,0
12 PENCILS SMALL TUBE RED SPOTTY,2010-03-01,317.85,2010,3,189.8,260.43333333333334,57.416666666666686,0
12 PENCILS SMALL TUBE RED SPOTTY,2010-04-01,154.7,2010,4,317.85,220.78333333333333,-66.08333333333334,1
12 PENCILS SMALL TUBE RED SPOTTY,2010-05-01,969.9,2010,5,154.7,480.81666666666666,489.0833333333333,1
12 PENCILS SMALL TUBE RED SPOTTY,2010-06-01,432.25,2010,6,969.9,518.9499999999999,-86.69999999999993,0
12 PENCILS SMALL TUBE RED SPOTTY,2010-07-01,548.6,2010,7,432.25,650.25,-101.64999999999998,0
12 PENCILS SMALL TUBE RED SPOTTY,2010-08-01,573.95,2010,8,548.6,518.2666666666668,55.68333333333328,0
12 PENCILS SMALL TUBE RED SPOTTY,2010-09-01,475.15,2010,9,573.95,532.5666666666667,-57.41666666666674,0
12 PENCILS SMALL TUBE RED SPOTTY,2010-10-01,659.2,2010,10,475.15,569.4333333333333,89.76666666666677,0
12 PENCILS SMALL TUBE RED SPOTTY,2010-11-01,15.6,2010,11,659.2,383.3166666666666,-367.7166666666666,0
12 PENCILS SMALL TUBE SKULL,2010-01-01,204.1,2010,1,176.15,190.125,13.974999999999994,1
12 PENCILS SMALL TUBE SKULL,2010-02-01,421.15,2010,2,204.1,267.1333333333333,154.01666666666665,0
12 PENCILS SMALL TUBE SKULL,2010-03-01,371.55,2010,3,421.15,332.26666666666665,39.28333333333336,0
12 PENCILS SMALL TUBE SKULL,2010-04-01,159.25,2010,4,371.55,317.31666666666666,-158.06666666666666,1
12 PENCILS SMALL TUBE SKULL,2010-05-01,250.25,2010,5,159.25,260.34999999999997,-10.099999999999966,1
12 PENCILS SMALL TUBE SKULL,2010-06-01,325.0,2010,6,250.25,244.83333333333334,80.16666666666666,0
12 PENCILS SMALL TUBE SKULL,2010-07-01,172.9,2010,7,325.0,249.38333333333333,-76.48333333333332,0
12 PENCILS SMALL TUBE SKULL,2010-08-01,194.35,2010,8,172.9,230.75,-36.400000000000006,0
12 PENCILS SMALL TUBE SKULL,2010-09-01,341.25,2010,9,194.35,236.16666666666666,105.08333333333334,0
12 PENCILS SMALL TUBE SKULL,2010-10-01,368.55,2010,10,341.25,301.3833333333334,67.16666666666663,0
12 PENCILS SMALL TUBE SKULL,2010-11-01,840.6,2010,11,368.55,516.8000000000001,323.79999999999995,0
12 PENCILS SMALL TUBE SKULL,2010-12-01,368.55,2010,12,840.6,525.9,-157.34999999999997,1
12 PENCILS SMALL TUBE SKULL,2011-01-01,198.9,2011,1,368.55,469.3500000000001,-270.45000000000005,1
12 PENCILS SMALL TUBE SKULL,2011-02-01,109.85,2011,2,198.9,225.76666666666668,-115.91666666666669,0
12 PENCILS SMALL TUBE SKULL,2011-03-01,576.4,2011,3,109.85,295.05,281.34999999999997,0
12 PENCILS SMALL TUBE SKULL,2011-04-01,308.1,2011,4,576.4,331.45,-23.349999999999966,1
12 PENCILS SMALL TUBE SKULL,2011-05-01,339.3,2011,5,308.1,407.93333333333334,-68.63333333333333,1
12 PENCILS SMALL TUBE SKULL,2011-06-01,491.4,2011,6,339.3,379.6000000000001,111.7999999999999,0
12 PENCILS SMALL TUBE SKULL,2011-07-01,231.4,2011,7,491.4,354.03333333333336,-122.63333333333335,0
12 PENCILS SMALL TUBE SKULL,2011-08-01,611.2,2011,8,231.4,444.6666666666667,166.53333333333336,0
12 PENCILS SMALL TUBE SKULL,2011-09-01,226.2,2011,9,611.2,356.26666666666665,-130.06666666666666,0
12 PENCILS SMALL TUBE SKULL,2011-10-01,567.15,2011,10,226.2,468.1833333333334,98.96666666666658,0
12 PENCILS SMALL TUBE SKULL,2011-11-01,358.1,2011,11,567.15,383.8166666666666,-25.716666666666583,0
12 PENCILS SMALL TUBE SKULL,2011-12-01,7.8,2011,12,358.1,311.01666666666665,-303.21666666666664,1
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-02-01,83.4,2010,2,1152.3,617.85,-534.45,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-03-01,15.9,2010,3,83.4,417.20000000000005,-401.30000000000007,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-04-01,7.95,2010,4,15.9,35.75000000000001,-27.800000000000008,1
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-05-01,47.7,2010,5,7.95,23.850000000000005,23.849999999999998,1
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-07-01,127.2,2010,7,47.7,60.95000000000001,66.25,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-08-01,305.85,2010,8,127.2,160.25,145.60000000000002,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-09-01,758.85,2010,9,305.85,397.3,361.55,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-10-01,2212.95,2010,10,758.85,1092.55,1120.3999999999999,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-11-01,4579.65,2010,11,2212.95,2517.1499999999996,2062.5,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2010-12-01,1081.05,2010,12,4579.65,2624.5499999999997,-1543.4999999999998,1
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-01-01,15.9,2011,1,1081.05,1892.1999999999998,-1876.2999999999997,1
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-05-01,15.9,2011,5,15.9,370.95000000000005,-355.05000000000007,1
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-07-01,147.0,2011,7,15.9,59.6,87.4,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-08-01,111.3,2011,8,147.0,91.39999999999999,19.900000000000006,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-09-01,2367.75,2011,9,111.3,875.35,1492.4,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-10-01,1335.15,2011,10,2367.75,1271.4,63.75,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-11-01,4423.8,2011,11,1335.15,2708.9,1714.9,0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011-12-01,302.1,2011,12,4423.8,2020.3500000000004,-1718.2500000000005,1
20 DOLLY PEGS RETROSPOT,2010-04-01,333.89,2010,4,42.5,188.195,145.695,1
20 DOLLY PEGS RETROSPOT,2010-05-01,438.89,2010,5,333.89,271.76,167.13,1
20 DOLLY PEGS RETROSPOT,2010-06-01,498.15,2010,6,438.89,423.64333333333326,74.50666666666672,0
20 DOLLY PEGS RETROSPOT,2010-07-01,682.3,2010,7,498.15,539.78,142.51999999999998,0
20 DOLLY PEGS RETROSPOT,2010-08-01,355.14,2010,8,682.3,511.86333333333323,-156.72333333333324,0
20 DOLLY PEGS RETROSPOT,2010-09-01,432.27,2010,9,355.14,489.90333333333336,-57.63333333333338,0
20 DOLLY PEGS RETROSPOT,2010-10-01,427.23,2010,10,432.27,404.87999999999994,22.35000000000008,0
20 DOLLY PEGS RETROSPOT,2010-11-01,345.88,2010,11,427.23,401.79333333333335,-55.913333333333355,0
20 DOLLY PEGS RETROSPOT,2010-12-01,649.4,2010,12,345.88,474.17,175.22999999999996,1
20 DOLLY PEGS RETROSPOT,2011-01-01,112.5,2011,1,649.4,369.26,-256.76,1
20 DOLLY PEGS RETROSPOT,2011-02-01,280.88,2011,2,112.5,347.5933333333333,-66.71333333333331,0
20 DOLLY PEGS RETROSPOT,2011-03-01,221.25,2011,3,280.88,204.87666666666667,16.373333333333335,0
20 DOLLY PEGS RETROSPOT,2011-04-01,925.0,2011,4,221.25,475.71000000000004,449.28999999999996,1
20 DOLLY PEGS RETROSPOT,2011-06-01,8.7,2011,6,925.0,384.98333333333335,-376.28333333333336,0
20 DOLLY PEGS RETROSPOT,2011-07-01,107.3,2011,7,8.7,347.0,-239.7,0
20 DOLLY PEGS RETROSPOT,2011-08-01,277.5,2011,8,107.3,131.16666666666666,146.33333333333334,0
20 DOLLY PEGS RETROSPOT,2011-09-01,176.9,2011,9,277.5,187.23333333333335,-10.333333333333343,0
20 DOLLY PEGS RETROSPOT,2011-10-01,280.95,2011,10,176.9,245.11666666666665,35.83333333333334,0
20 DOLLY PEGS RETROSPOT,2011-11-01,178.35,2011,11,280.95,212.0666666666667,-33.7166666666667,0
20 DOLLY PEGS RETROSPOT,2011-12-01,47.85,2011,12,178.35,169.04999999999998,-121.19999999999999,1
3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-09-01,1384.65,2011,9,98.45,741.5500000000001,643.1,0
3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-10-01,1492.7,2011,10,1384.65,991.9333333333334,500.76666666666665,0
3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-11-01,2445.15,2011,11,1492.7,1774.1666666666667,670.9833333333333,0
3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-12-01,774.78,2011,12,2445.15,1570.8766666666668,-796.0966666666668,1
3 HEARTS HANGING DECORATION RUSTIC,2010-05-01,297.95,2010,5,2.95,150.45,147.5,1
3 HEARTS HANGING DECORATION RUSTIC,2010-06-01,56.05,2010,6,297.95,118.98333333333333,-62.93333333333334,0
3 HEARTS HANGING DECORATION RUSTIC,2010-07-01,486.75,2010,7,56.05,280.25,206.5,0
3 HEARTS HANGING DECORATION RUSTIC,2010-08-01,1517.15,2010,8,486.75,686.65,830.5000000000001,0
3 HEARTS HANGING DECORATION RUSTIC,2010-09-01,2628.25,2010,9,1517.15,1544.05,1084.2,0
3 HEARTS HANGING DECORATION RUSTIC,2010-10-01,3155.35,2010,10,2628.25,2433.5833333333335,721.7666666666664,0
3 HEARTS HANGING DECORATION RUSTIC,2010-11-01,6443.5,2010,11,3155.35,4075.7000000000003,2367.7999999999997,0
3 HEARTS HANGING DECORATION RUSTIC,2010-12-01,2310.7,2010,12,6443.5,3969.85,-1659.15,1
3 HEARTS HANGING DECORATION RUSTIC,2011-01-01,23.6,2011,1,2310.7,2925.933333333334,-2902.333333333334,1
3 HEARTS HANGING DECORATION RUSTIC,2011-03-01,5.9,2011,3,23.6,780.0666666666666,-774.1666666666666,0
3 HEARTS HANGING DECORATION RUSTIC,2011-04-01,23.6,2011,4,5.9,17.7,5.900000000000002,1
3 HEARTS HANGING DECORATION RUSTIC,2011-05-01,56.05,2011,5,23.6,28.516666666666666,27.53333333333333,1
3 HEARTS HANGING DECORATION RUSTIC,2011-06-01,53.1,2011,6,56.05,44.25,8.850000000000001,0
3 HEARTS HANGING DECORATION RUSTIC,2011-07-01,67.85,2011,7,53.1,59.0,8.849999999999994,0
3 HEARTS HANGING DECORATION RUSTIC,2011-08-01,1090.35,2011,8,67.85,403.76666666666665,686.5833333333333,0
3 HEARTS HANGING DECORATION RUSTIC,2011-09-01,899.64,2011,9,1090.35,685.9466666666666,213.69333333333338,0
